crop,month,avg_temp_c,optimal_range,suitability_pct
Bhindi (Ladies finger),1,15.0,24-35°C,1.3
Bhindi (Ladies finger),2,15.4,24-35°C,0.7
Bhindi (Ladies finger),11,12.5,24-35°C,0.7
Brinjal,2,15.4,21-30°C,4.6
Brinjal,1,15.0,21-30°C,3.9
Brinjal,3,14.6,21-30°C,3.9
Elephant Yam (Suran),2,15.4,25-35°C,0.7
Elephant Yam (Suran),1,15.0,25-35°C,0.6
Elephant Yam (Suran),3,14.6,25-35°C,0.0
Garlic,2,15.4,12-24°C,90.4
Garlic,1,15.0,12-24°C,87.4
Garlic,12,13.9,12-24°C,79.5
Green Chilli,1,15.0,20-30°C,6.8
Green Chilli,3,14.6,20-30°C,6.8
Green Chilli,2,15.4,20-30°C,6.4
Methi,2,15.4,15-27°C,52.8
Methi,1,15.0,15-27°C,48.1
Methi,3,14.6,15-27°C,44.2
Onion,2,15.4,13-24°C,84.0
Onion,1,15.0,13-24°C,74.5
Onion,3,14.6,13-24°C,67.4
Peas,12,13.9,10-18°C,91.6
Peas,1,15.0,10-18°C,85.5
Peas,2,15.4,10-18°C,84.0
Potato,2,15.4,15-20°C,46.8
Potato,1,15.0,15-20°C,41.6
Potato,3,14.6,15-20°C,37.7
Tomato,2,15.4,18-27°C,16.0
Tomato,3,14.6,18-27°C,14.8
Tomato,1,15.0,18-27°C,14.2
